type,text
Tweet,"El 14 de marzo de 1879 nacía en Ulm (Alemania) Albert Einstein, que ha sido declarado por la revista Time el personaje más importante del siglo XX. https://t.co/1zKtZezZbY"
Tweet,"Aunque los más conocidos son Caín y Abel por el episodio fraticida que protagonizaron, existen indicios de que Adán y Eva pudieron tener muchos más hijos. https://t.co/PqQ3ycmGws"
Tweet,"La humanidad es muy diversa, y aunque compartimos el 99 % del ADN, el 1 % restante encierra todas las diferencias, y un solo genoma de referencia no es suficiente. https://t.co/kB387KzxPP"
Tweet,Se trata de un hallazgo único. El yacimiento de fósiles encontrado en Gales es único y nos ofrece un a mirada a cómo era la vida marina en la Tierra antigua. https://t.co/4B3WSyTB0O
Tweet,"Los principales responsables de esto son el cambio climático, el consumo humano y la sedimentación. https://t.co/X22Ck7SHhl"
Tweet,"Pasteles, champús, recipientes, lubricantes, arma arrojadiza… Posiblemente no haya un alimento más versátil como el fruto del cocotero: es el cerdo del mundo vegetal. https://t.co/Bgvi2N0f18"
Tweet,Un auriga nacido en Hispania se convirtió en la mayor estrella de las carreras de cuadrigas. https://t.co/yHAjAKCuDH
Tweet,Unos astrónomos han determinado cuál es el color del universo promediando toda la luz que emiten las estrellas y galaxias. Y les ha salido que es de color café con leche. https://t.co/AS3cMqJNNP
Tweet,"¿Piensas adoptar un perro? Si alguna vez te has preguntado cómo es el proceso de adopción, desde @adoptak te lo cuentan. https://t.co/3lKLU6UrOj"
Tweet,"Nuestro vecino planeta rojo habría tenido agua líquida hace unos 400.000 años, según sugieren los datos del rover Zhurong. https://t.co/4fo3HmX8Jh"
Tweet,"Ahí estaban. Como si de virus 'polizones' se tratara, los científicos han identificado más de 30.000 nuevos virus. https://t.co/WwNwXi1jKJ"
Tweet,"Aunque comúnmente se considera al tigre el felino más grande del mundo, lo cierto es que ni siquiera es un felino. Y el león tampoco. https://t.co/OxN7FqeJz4"
Tweet,"La ciencia y la tecnología imita muchas técnicas y materiales presentes en la naturaleza, y las hormigas pueden enseñarnos a optimizar los algoritmos para la inteligencia artificial. https://t.co/24znlqV5fB"
Tweet,"Heritage tiene como misión mantener, restaurar y promocionar este ingente patrimonio histórico a través de espacios de exposición, la búsqueda de automóviles clásicos para su rehabilitación y la conservación de objetos y documentos https://t.co/SWVPPypiyi"
Tweet,"El robot posee una nueva ""memoria artificial"" gracias a la cual encuentra objetos extraviados. https://t.co/gvzd6qAIqN"
Tweet,¿Resistirán las religiones de la Tierra un contacto con seres extraterrestres? ¿Seguiremos creyendo en nuestras religiones o nos convertiremos a las de ellos? https://t.co/dN2vQPJgWM
Tweet,"Las ciudades más sucias según la encuesta de satisfacción realizada por la OCU son Palma, Alicante y Sevilla. ¿Cuáles son más limpias? https://t.co/z8xIGxsuZ7"
Tweet,"No es una señal alienígena, sino una prueba enviada desde Marte y capturada por tres telescopios de la Tierra. Puedes ayudar a decodificar el mensaje. https://t.co/9FK1IpdSFo"
Tweet,Un depredador primitivo que vivió en la actual Sudáfrica hace 360 millones de años. https://t.co/eGdKYhc9jq
