type,text
Tweet,"[Video] La camiseta ""edición especial"" de OIympique de Marsella dedicada a Alexis Sánchez #CooperativaContigo https://t.co/oY1fGQT3se https://t.co/3oQuK5VGoh"
Tweet,[ Actualización] #CooperativaContigo Bus del transporte público atropelló y mató a una persona en Santiago Centro https://t.co/b34sYabGi8 https://t.co/cetNe5wbWL
Tweet,[Video] #CooperativaContigo Emoción y lágrimas: Comisión Experta entonó el himno al culminar el anteproyecto de la Constitución https://t.co/wuv1z2u5PP https://t.co/TKy9oN4y1d
Tweet,Administrador de la NASA considera que existe una carrera espacial con China #CooperativaContigo https://t.co/OAnIInHUCQ https://t.co/iQ1U7NOe7H
Retweet,"Las películas de ""Indiana Jones"" ya están en Disney+ 💥 #IndianaJones #DisneyPlus https://t.co/F8xLmiO3sd https://t.co/OMAUcJXtLb"
Tweet,[Fotos] Team ParaChile viajó a Colombia para participar de los Parapanamericanos Juveniles #CooperativaContigo https://t.co/G8P6Woe5DX https://t.co/CtszeMhuQc
Tweet,Fabián Orellana se irritó con información sobre supuesto acercamiento de Deportes La Serena #CooperativaContigo https://t.co/Zg8eqmXoPo https://t.co/46jKDFLFtW
Retweet,"Por gran cantidad de aves en el aeropuerto de Santiago, Concepción se transforma en alternativa para vuelos internacionales. Ya aterrizó un Boeing 787 procedente desde Miami, Estados Unidos @Cooperativa"
Tweet,Al Pacino será papá a sus 83 años: Su novia es medio siglo más joven #CooperativaContigo https://t.co/WqV94s8Anr https://t.co/kVrfsI3NUW
Tweet,"Nuevos sonidos: Yaima Cat y Rosario Alfonso, Rodrigo Cisternas, Gato Llamarada, Eduardo Rey-Aguirre y Visceral #CooperativaContigo https://t.co/ryXCOzGfIx https://t.co/JphW3qAluK"
Tweet,Presidente de Atlético Bucaramanga: Desde Colo Colo nunca llamaron por Lencina #CooperativaContigo https://t.co/O7Zn7ckzt3 https://t.co/l2fKIt7Fbj
Retweet,"¡Hay nuevo tráiler! El ""Caos Mutante"" inicia en la nueva película de las ""Tortugas Ninja"" 🐢🍕 #TMNTMovie #TMNT https://t.co/VLLPgP0imR https://t.co/kGt3ce3F4Q"
Tweet,[Video] ¿Una serie sobre tu vida? Black Mirror muestra los detalles de su sexta temporada #CooperativaContigo https://t.co/EijqE8jnBX https://t.co/qAWndNx8hc
Tweet,Marco Rojas realizará millonaria donación al equipo femenino de Melbourne Victory #CooperativaContigo https://t.co/K1oUP7A1rB https://t.co/otpptM0d7j
Tweet,Video del Everest indigna por la basura que hay a más de ocho mil metros de altura #CooperativaContigo https://t.co/Ceggjmay2C https://t.co/FWaE8Qckyc
Tweet,¿A qué hora es y dónde ver el duelo de Jarry y Tommy Paul en #RolandGarros? #CooperativaContigo https://t.co/GEUQNU45yu https://t.co/SJOLRbuoFO
Tweet,"Al igual que Argentina y Brasil, Colombia anunció su reintegración a Unasur #CooperativaContigo https://t.co/NOYfjeH69K https://t.co/6l2mCfoMLy"
Tweet,Con Plastilina Mosh y homenaje a Jorge González: Festival Chilean Way anuncia ediciones locales #CooperativaContigo https://t.co/b0T5JkPO1o https://t.co/bIVXUApOL3
Tweet,Producción industrial y actividad del comercio tuvieron caídas en abril #CooperativaContigo https://t.co/HxpHWRe48v https://t.co/CTUdipUmJS
Tweet,#CooperativaContigo Bus del transporte público atropelló y mató a una persona en Santiago Centro https://t.co/b34sYabGi8 https://t.co/yF5ojPYvd9
Tweet,#CooperativaContigo Delincuentes que huían en auto robado chocaron contra un taller mecánico: https://t.co/gtUZabKOrh https://t.co/iLW28BxblY
Tweet,[Video] Fanático de River Plate replicó estatua de Marcelo Gallardo en una milanesa #CooperativaContigo https://t.co/4H7voHv687 https://t.co/8oDKzZ2sug
Tweet,[En desarrollo] Los resultados de este miércoles 31 de mayo en #RolandGarros #CooperativaContigo https://t.co/B4JKTJJYW4 https://t.co/vUT3XkfMlT
Tweet,Cathy Barriga vuelve a la TV como panelista de farándula pese a investigación en su contra #CooperativaContigo https://t.co/LAV0KWHgmt https://t.co/UlTua8yZgC
Tweet,[Fotos] París Saint-Germain dio a conocer su nueva camiseta con Messi a la cabeza #CooperativaContigo https://t.co/mVH9ajaNub https://t.co/jj38SsvQSu
Tweet,"Boric discrepó con Lula sobre Venezuela: ""No es una construcción narrativa; es una realidad seria"" #CooperativaContigo https://t.co/8nA9mNquko https://t.co/y9UQVxKW5P"
Tweet,"[Radio en vivo] Los economistas Claudio Agostini, Raphael Bergoeing, Diana Krüger y Alejandro Micco debaten en El Primer Café: https://t.co/QkQdgHw02O #CooperativaContigo https://t.co/N8MDV8a8ih"
Tweet,Stefanos Tsitsipas aceleró para instalarse en tercera ronda en Roland Garros #CooperativaContigo https://t.co/7v5nV8wO2e https://t.co/x5GiaJqXni
Tweet,Marta Lagos: Hemos validado el pinochetismo al validar a sus actores en democracia #CooperativaContigo https://t.co/t3zU8zJZm7 https://t.co/JPubzp9rW6
Tweet,China rebaja nivel de peligro de extinción de casi 500 especies silvestres @EfectoChina https://t.co/b745Rg3T0J https://t.co/PI6mvXMUkQ
Tweet,[DOCUMENTO] Este es el proyecto de Constitución que acordó la Comisión Experta #CooperativaContigo https://t.co/73cET1aNzs https://t.co/JyBiAx2Gbf
Tweet,"[📻] Marta Lagos, directora de CERC-Mori, conversa con El Diario de Cooperativa sobre el estudio que advierte el ""resurgimiento del pinochetismo"" en Chile

#CooperativaContigo https://t.co/QkQdgHw02O"
