type,text
Reply,"@MATIAS_INC Tuvimos un tren detenido por más del tiempo habitual. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes, Matias"
Reply,"@cmcasm Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,"@javierI32072840 @biobio Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,"@Cataosses Tuvimos un tren detenido por más del tiempo habitual. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes, Cata!"
Reply,"@Bibiana53263810 Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,"@Matias58887257 Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Tweet,"¡Buenos días! #TodaLaRed está disponible para recibirlos en esta nueva jornada. Estamos aquí para mantenerlos informados, así que no duden en enviarnos sus mensajes.

¡Que tengan un excelente día! ❤️✨ https://t.co/ra00olah2f"
Reply,@rosinasilva Lindo día!
Tweet,"¡Atención! 👀Inicia la hora punta y #TodaLaRed está disponible. 

🚨Por tu seguridad, evita sentarte en el suelo del tren 🚇. No solo puede resultar incómodo para los demás pasajeros, sino que también es un riesgo en caso de emergencia. https://t.co/lE3riFzVO1"
Reply,"@rsalvop Tuvimos un tren detenido por más del tiempo habitual. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes, Rodrigo"
Reply,"@sicoandrea Hola, tuvimos una demora mayor a la habitual debido a un retraso en la salida de los trenes desde Vicente Valdés. En estos momentos, el problema ya ha sido solucionado y estamos trabajando para restablecer la frecuencia."
Reply,@Matias58887257 Tuvimos un tren detenido por más del tiempo habitual. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@nubenu_ Tuvimos un tren detenido por más del tiempo habitual. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,"@pantruk Hola, por favor, puedes dejarnos toda la información para que sea revisada por el equipo a cargo en https://t.co/myLsd0aUDj"
Reply,"@Ivivettee Hola, Ivette. Vamos a revisar qué ocurrió. Sentimos los inconvenientes que esto te puede causar."
Reply,"@Belu_11AD Hola, en Manquehue tienes tótem bip y en Tobalaba hay un centro bip! donde puedes validar. Slds."
Reply,@12vondy Informaremos al equipo a cargo para que se realice la limpieza. Slds.
Reply,"@LuisAle98142280 Hola, Luis. Tenemos un retraso en la frecuencia del servicio por una falla técnica. Estamos trabajando para normalizar la circulación de los trenes."
Reply,"@peortegag12 Hola, Pastor. Tenemos un retraso en la frecuencia del servicio por una falla técnica. Estamos trabajando para normalizar la circulación de los trenes."
Reply,"@bioandy Hola, Andrea. Tenemos un retraso en la frecuencia del servicio por una falla técnica. Estamos trabajando para normalizar la circulación de los trenes."
Reply,"@12vondy Hola, Carolina, nos indicas el número de carro y la dirección del tren, por favor."
Reply,"@DianelaSottorff Hola, en qué estación es esto"
Reply,"@VpAmaro Hola, Vale. Estabamos al tanto de esta situación. Personal de la estación acudió al lugar y esta personal ya se había retitado. Gracias por tu preocupación. Slds."
Reply,"@vaespinozam1 Hola, Vero. Vamos a revisar con el equipo qué pudo ocurrir. Sentimos los inconvenientes causados."
Reply,"@AbogadaRubilar Hola, en qué línea viajas y la dirección que lleva el tren"
Retweet,"#PuenteAlto: Carabineros de la 20ª Comisaría desarrolla servicios preventivos en las  inmediaciones del @metrodesantiago, con el objetivo de evitar ilícitos que afecten a las personas que se trasladan a sus lugares de trabajo, aumentando la sensación de seguridad de los vecinos. https://t.co/7jxNGz2kVs"
Reply,"@02_Bele Seguiremos entregando mensajes educativos, Belen"
Reply,"@Tamayiz Hola, vamos a revisar esto con el equipo a cargo."
Tweet,"📢 ¡Atención, estudiantes de la RM! No olviden revalidar su #TNE en la estación de inicio antes de viajar. ¡Es rápido y sencillo! #RevalidaTuTNE ¡Última oportunidad hasta el 31 de mayo! 👀 Obtén detalles adicionales en https://t.co/ZpJfvumuR9 y si requieres asistencia, comunícate… https://t.co/SxjFGjSrk8"
Reply,"@__bluemoonx__ Hola, los amigos de @ayudaJUNAEB podrán ayudarte."
Reply,@mcsleiva Lindo día!!
Reply,@marcelapuka ¡Buenos días! Gracias por tu mensaje. Nos alegra saber que hemos logrado que tu viaje sea agradable. Transmitiremos tus palabras al chófer y al equipo. ¡Que tengas un excelente día! 😊🚇
Reply,@GVAWRITER Informaremos!
Reply,"@belenparra88 Hola, puedes hacerlo en tu estación de inicio o destino."
Reply,"@mcsleiva Hola, Marisol. Esperamos de corazón que mejores.❤️✨ Te enviamos mucho ánimo y un fuerte abrazo. 🤗"
Tweet,"22:00 hrs. Terminamos la jornada de Twitter por hoy! Recuerda que el servicio de trenes está disponible hasta las 23:00 hrs.  
¡Que tengas buenas noches!  😴  

Nos leemos mañana desde las 06:00 hrs. https://t.co/DZZrE81IDF"
Tweet,18:00 hrs. Comienza la #HoraPunta en metro con #TodaLaRed disponible. https://t.co/okQKz9ScKS
Reply,"@JoseVen97397046 Tuvimos un tren detenido por más del tiempo habitual en estación Toesca por falla de puertas. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes, José"
Tweet,17:29 hrs. Se restablece el servicio en #L4. #TodaLaRed se encuentra disponible. #AlertaMetro finalizada.
Reply,"@JoseVen97397046 Tuvimos un tren detenido por más del tiempo habitual en estación Toesca por falla de puertas. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes, José."
Reply,@gusanoide9 ¡Wooow! 🥰
Reply,@espressobblgm Nos indicas el número de tu coche? Toda la red se encuentra disponible.
Reply,@pasto_seco Nos indicas el número de coche? Toda la red se encuentra disponible.
Reply,@Ctreras2 Estamos con toda la red disponible.
Reply,"@yesnia_denisse Ya se normalizó, Yesnia"
Reply,@e_alejandra1966 @Red_Movilidad @Transantiago @MTTChile @TTISantiago Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@c_t_c__ Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Tweet,15:48 hrs. Desde este momento el servicio en #L4 se encuentra disponible solo entre Tobalaba / Vicente Valdés y Sótero del Río /  Plaza de Puente Alto por persona en la vía. #AlertaMetro
Reply,@calaluistemplar Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@Crist_Carvajal @Red_Movilidad @Transantiago @MTTChile @TTISantiago Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
